index,Player,Position,Team,Facility,Capacity,Location,Opened
68,Lamar Jackson,QB,Ravens,M&T Bank Stadium,"71,008","Baltimore, Maryland",1998
69,Justin Tucker,K,Ravens,M&T Bank Stadium,"71,008","Baltimore, Maryland",1998
70,DeAndre Hopkins,WR,Cardinals,State Farm Stadium,"63,400","Glendale, Arizona",2006
71,Kyler Murray,QB,Cardinals,State Farm Stadium,"63,400","Glendale, Arizona",2006
72,Budda Baker,S,Cardinals,State Farm Stadium,"63,400","Glendale, Arizona",2006
73,James Conner,RB,Cardinals,State Farm Stadium,"63,400","Glendale, Arizona",2006
74,Robert Quinn DE,,Bears,Soldier Field,"61,500","Chicago, Illinois",1924[nb 1]
75,Roquan Smith,LB,Bears,Soldier Field,"61,500","Chicago, Illinois",1924[nb 1]
76,David Montgomery,RB,Bears,Soldier Field,"61,500","Chicago, Illinois",1924[nb 1]
77,Alvin Kamara,RB,Saints,Mercedes-Benz Superdome,"73,208","New Orleans, Louisiana",1975
78,Cameron Jordan,DE,Saints,Mercedes-Benz Superdome,"73,208","New Orleans, Louisiana",1975
79,Tyrann Mathieu,S,Saints,Mercedes-Benz Superdome,"73,208","New Orleans, Louisiana",1975
80,Demario Davis,LB,Saints,Mercedes-Benz Superdome,"73,208","New Orleans, Louisiana",1975
81,Marshon Lattimore,CB,Saints,Mercedes-Benz Superdome,"73,208","New Orleans, Louisiana",1975
82,Matthew Judon,LB,Patriots,Gillette Stadium,"66,829","Foxborough, Massachusetts",2002
83,Mac Jones,QB,Patriots,Gillette Stadium,"66,829","Foxborough, Massachusetts",2002
84,Russell Wilson,QB,Broncos,Empower Field at Mile High,"76,125","Denver, Colorado",2001
85,Justin Simmons,S,Broncos,Empower Field at Mile High,"76,125","Denver, Colorado",2001
86,Jason Kelce,C,Eagles,Lincoln Financial Field,"69,596","Philadelphia, Pennsylvania",2003
87,Darius Slay,CB,Eagles,Lincoln Financial Field,"69,596","Philadelphia, Pennsylvania",2003
88,Quandre Diggs,S,Seahawks,Lumen Field,"69,000","Seattle, Washington",2002
89,Cordarrelle Patterson,RB,Falcons,Mercedes-Benz Stadium,"71,000","Atlanta, Georgia",2017
90,Kyle Pitts,TE,Falcons,Mercedes-Benz Stadium,"71,000","Atlanta, Georgia",2017
91,Brian Burns,DE,Panthers,Bank of America Stadium,"75,523","Charlotte, North Carolina",1996
92,Jonathan Allen,DT,Commanders,FedExField,"82,000","Landover, Maryland",1997
